"id" "b1" "log_initE" "beta_ld1" "beta_BG1"
1 0.37820149333675 1.64716593454329 1.45 0.8
2 0.270947433643621 2.45212582688987 1.45 0.8
3 0.305509544927132 1.32746536030307 1.45 0.8
4 0.48649931693787 2.14232573466636 1.45 0.8
5 0.399745433829489 2.23066510263155 1.45 0.8
6 0.268560352415868 3.02160457788172 1.45 0.8
7 0.376806583724083 2.51290155874313 1.45 0.8
8 0.290779168900441 1.84261274128184 1.45 0.8
9 0.56334863572493 2.78617467160222 1.45 0.8
10 0.467274866696687 1.74133966244324 1.45 0.8
11 0.424676098925975 2.428289662866 1.45 0.8
12 0.326949130674062 1.21760155960275 1.45 0.8
13 0.358777170226328 3.25414932203032 1.45 0.8
14 0.281626032063607 0.601876857962848 1.45 0.8
15 0.303336841383732 1.72903936285282 1.45 0.8
16 0.518595983797615 1.76875636360869 1.45 0.8
17 0.293207907406096 1.16728775612127 1.45 0.8
18 0.345325698437283 1.99948154286922 1.45 0.8
19 0.334301941238759 1.19668638023793 1.45 0.8
20 0.510224243993513 0.0672321000955752 1.45 0.8
21 0.426865367357007 1.79586235006131 1.45 0.8
22 0.272837064364422 2.59512238642178 1.45 0.8
23 0.286931801689228 1.70036205826652 1.45 0.8
24 0.266971940439948 0.604532208296596 1.45 0.8
25 0.290888726173597 2.62802979403108 1.45 0.8
26 0.448108540676184 0.653582697873939 1.45 0.8
27 0.283839473407961 2.37387986760573 1.45 0.8
28 0.272758231373254 1.83657824024885 1.45 0.8
29 0.298152653314966 2.37403687929156 1.45 0.8
30 0.296641457515293 2.40234714996484 1.45 0.8
31 0.393472833363181 2.76593281151988 1.45 0.8
32 0.272883265774932 2.20169453615339 1.45 0.8
33 0.274605917775766 2.86940819504164 1.45 0.8
34 0.320064218190679 0.0463418855543957 1.45 0.8
35 0.516396642633394 3.03616177690464 1.45 0.8
36 0.375567016385765 1.28217276635432 1.45 0.8
37 0.271686562591669 2.09983212276385 1.45 0.8
38 0.374483055755624 2.78920472508087 1.45 0.8
39 0.335611283147117 0.414234152442474 1.45 0.8
40 0.339136858305489 2.35683820107513 1.45 0.8
41 0.445157997180191 2.38798268503994 1.45 0.8
42 0.318086830886339 2.64065441064677 1.45 0.8
43 0.528367170513088 -0.179268023311663 1.45 0.8
44 0.538713936034755 1.52487017770971 1.45 0.8
45 0.499071877762558 0.93305733983714 1.45 0.8
46 0.311940047803832 2.31510959158756 1.45 0.8
47 0.259062498865433 2.4672199413154 1.45 0.8
48 0.31619058925261 1.29893258143378 1.45 0.8
49 0.358811648087823 1.68010279721694 1.45 0.8
50 0.371754288752496 0.586246424811847 1.45 0.8
51 0.417012617049431 0.891941895546223 1.45 0.8
52 0.321214062182626 1.69441476731616 1.45 0.8
53 0.396930349540544 2.47543548191778 1.45 0.8
54 0.302992857266596 0.665941200666304 1.45 0.8
55 0.326073408099226 2.63226479201592 1.45 0.8
56 0.305253751153004 0.982717521195403 1.45 0.8
57 0.288117034260467 2.09744710803893 1.45 0.8
58 0.375296305145557 2.98114377495198 1.45 0.8
59 0.274663182499314 3.021381164827 1.45 0.8
60 0.423227685253427 1.55386303520105 1.45 0.8
61 0.309741328722561 1.70785588552063 1.45 0.8
62 0.217699988135239 0.652865368082051 1.45 0.8
63 0.39629738274092 1.35824016643283 1.45 0.8
64 0.563286972606545 2.04895392242135 1.45 0.8
65 0.322951331254512 2.33313858092746 1.45 0.8
66 0.3748525349077 2.30036374115808 1.45 0.8
67 0.353811647466939 1.3156869174678 1.45 0.8
68 0.389406894987728 2.08234811937022 1.45 0.8
69 0.349591480235307 1.89308621882593 1.45 0.8
70 0.341310920559465 1.8773501932493 1.45 0.8
71 0.257288192326174 3.32941517768408 1.45 0.8
72 0.427619703966454 3.43024341565061 1.45 0.8
73 0.27193155600077 3.00253828984847 1.45 0.8
74 0.37214329759197 1.8748026937856 1.45 0.8
75 0.349857187177473 0.27923732408799 1.45 0.8
76 0.314902187619712 0.995309293061206 1.45 0.8
77 0.395150533494418 2.22308099020247 1.45 0.8
78 0.30670529453684 0.774939920173344 1.45 0.8
79 0.421360289931413 2.07266893621372 1.45 0.8
80 0.446069547025053 1.89919386898033 1.45 0.8
81 0.388153520973053 3.64301580602707 1.45 0.8
82 0.471807279764717 2.96452789538652 1.45 0.8
83 0.3482862739472 1.47734168121211 1.45 0.8
84 0.346179050729792 1.44755693438607 1.45 0.8
85 0.4743734394854 0.36171010297625 1.45 0.8
86 0.254414125479149 2.37725358863041 1.45 0.8
87 0.441542523516484 1.95084631917279 1.45 0.8
88 0.256066202445283 3.18111200849931 1.45 0.8
89 0.361212481954265 2.60939325643207 1.45 0.8
90 0.405301261861308 3.36849655941461 1.45 0.8
91 0.40317419632335 3.16042587124119 1.45 0.8
92 0.262623761056079 1.91451336237699 1.45 0.8
93 0.331315072709558 1.61511691869911 1.45 0.8
94 0.328628951195848 1.28602924717797 1.45 0.8
